distance(cm);start;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;end;index;code
50;9803;1824;1806;590;599;590;590;599;1814;1814;1814;599;590;599;1813;1814;1814;1814;1289;590;599;599;590;600;600;600;600;1815;1815;1814;1814;1805;1814;1074;0;s11000001110001111e00000000111111t;
50;9797;1817;1809;601;593;593;594;593;1809;1818;1818;593;593;603;1809;1818;1809;1807;1818;655;584;594;602;602;593;594;602;1818;1809;1808;1818;1809;1821;1087;1;s110000011100011111e0000000111111t;
50;9806;1809;1818;594;593;593;594;584;1809;1812;1808;593;594;594;1809;1818;1818;1818;1817;593;585;593;602;600;585;593;593;1818;1809;1818;1818;1818;1818;1069;2;s11000001110001111100000000111111t;
50;9796;1815;1814;600;590;599;599;600;1805;1824;1821;590;599;600;1809;1814;1815;1814;1815;599;590;599;599;599;608;590;590;1815;1805;1815;1814;1805;1824;1074;3;s11000001110001111100000000111111t;
50;9805;1818;1809;593;603;593;593;594;1818;1809;1818;603;593;593;1772;1817;1818;1818;1809;594;602;594;594;593;594;603;593;1809;1816;1817;1818;1809;1809;1078;4;s11000001110001111100000000111111t;
50;9802;297;1814;1815;599;590;590;599;590;1805;1805;1814;590;590;599;1814;1812;1814;1814;1815;599;600;591;599;590;645;590;599;1814;1805;1806;1818;1814;1815;5;se11000001110001111100000000111111;
50;9786;1814;1812;599;590;599;590;590;1816;1810;1815;599;590;590;1824;1814;1815;1821;1814;599;599;599;590;599;599;599;590;1815;1814;1815;1814;1814;1814;1084;6;s11000001110001111100000000111111t;
50;9801;1814;1814;599;590;599;599;599;1814;1815;1814;590;599;599;1805;1815;1814;1806;1814;599;599;599;599;590;599;619;598;1814;1806;1814;1815;1814;1816;1075;7;s11000001110001111100000000111111t;
50;9794;1814;1823;590;590;590;599;599;1813;1814;1814;599;599;599;1814;1815;1823;1815;1814;599;590;590;597;599;599;590;599;1815;1814;1815;1814;1815;1814;1074;8;s11000001110001111100000000111111t;
50;9801;1829;1814;590;590;599;599;590;1814;1814;1812;589;590;599;1814;1814;1814;1815;1815;590;590;589;599;599;590;589;599;1814;1814;1823;1814;1814;1824;1074;9;s11000001110001111100000000111111t;
50;9802;1824;1814;599;599;600;599;599;1814;1815;1814;590;599;599;1815;1814;1815;1813;1814;589;589;598;598;589;589;598;598;1814;1817;1814;1805;1814;1805;1074;10;s11000001110001111100000000111111t;
50;9802;1814;1815;599;599;599;599;590;1814;1817;1814;654;654;599;1805;1816;1814;1815;1823;590;590;590;599;590;590;599;599;1805;1815;1815;1805;1815;1806;1084;11;s1100000111ee01111100000000111111t;
50;9805;1818;1818;593;603;584;593;593;1809;1809;1818;602;593;594;1815;1809;1809;1818;1812;594;593;594;585;593;594;603;593;1818;1809;1808;1818;1818;1818;1086;12;s11000001110001111100000000111111t;
50;9794;1814;1824;590;591;600;600;600;1814;1280;1814;592;599;600;1814;1806;1814;1814;1814;599;599;590;590;590;599;600;590;1814;1824;1815;1823;1816;1815;1084;13;s11000001e10001111100000000111111t;
50;9807;1814;1814;599;599;608;599;599;1814;1805;1814;598;599;589;1814;1814;1805;1814;1806;599;599;599;590;599;599;591;599;1814;1815;1805;1815;1814;1806;1074;14;s11000001110001111100000000111111t;
50;9808;255;1809;1809;603;593;594;593;594;1818;1809;1809;603;593;793;1818;1809;1809;1818;1809;594;602;594;584;594;593;603;593;1818;1818;1815;2309;1808;1815;15;se110000011100e1111100000000111e11;
50;9786;1815;1814;599;599;608;598;599;1814;1805;1814;598;598;599;1815;1814;1813;1815;1814;590;590;599;599;590;599;599;599;1806;1823;1824;1815;1821;1805;1084;16;s11000001110001111100000000111111t;
50;9795;1764;1814;599;595;600;599;599;1814;1976;1814;590;590;599;1814;1814;1815;1805;1815;590;599;590;590;599;599;590;599;1815;1859;1814;1823;1814;1815;1083;17;s11000001e10001111100000000111111t;
50;9791;1806;1824;599;590;590;599;600;1815;1815;1824;591;590;599;1805;2233;1814;1815;1812;599;590;599;599;599;590;599;599;1815;1814;1814;1814;1814;1814;1074;18;s11000001110001e11100000000111111t;
50;9804;1827;1809;594;593;593;594;593;1818;1809;1818;602;593;593;1818;1818;1808;1818;1809;594;593;603;594;593;593;594;593;1807;1817;1808;1818;1814;1809;1078;19;s11000001110001111100000000111111t;
50;9794;1814;1824;590;590;590;599;590;1815;1814;1806;599;599;590;1812;1814;1814;1814;1823;590;589;589;653;590;590;645;590;1814;1814;1822;1814;1823;1814;1083;20;s110000011100011111000e0000111111t;
50;9805;1818;1817;591;593;594;603;593;1809;1818;1808;602;603;603;1817;1818;1817;1818;1818;602;593;594;594;602;593;594;593;1818;1809;1975;1809;1818;1816;1567;21;s1100000111000111110000000011e1111;
50;9805;1808;1809;594;593;584;584;602;1818;1807;1818;603;593;593;1818;1817;1818;1809;1809;593;593;594;584;649;596;593;594;1808;1818;1809;1818;1808;1809;1078;22;s11000001110001111100000000111111t;
50;9803;297;1814;1814;590;589;599;599;590;1805;1814;1805;599;590;599;1814;1815;1815;1814;1814;599;590;590;600;599;590;590;599;1814;1805;1814;1806;1814;1815;23;se11000001110001111100000000111111;
50;9793;1778;1787;563;562;571;572;563;1786;1796;1787;571;572;571;1784;1786;1777;1787;1787;563;571;572;563;572;562;562;572;1778;1821;1788;1787;1787;1787;1047;24;s11000001110001111100000000111111t;
50;9811;297;1814;1789;563;572;563;572;563;1787;1778;1787;572;563;563;1787;1778;1785;1787;1787;563;572;572;563;563;572;563;563;1787;1787;1787;1779;1787;1778;25;se11000001110001111100000000111111;
50;9793;1814;1786;562;562;572;572;572;1778;1796;1787;571;572;572;1787;1787;1787;1787;1787;572;572;563;563;572;562;572;572;1788;1778;1787;1788;1787;1785;1045;26;s11000001110001111100000000111111t;
50;9797;1498;1786;571;562;571;568;571;1778;1786;1787;562;572;572;1777;1787;1787;1778;1786;567;562;562;572;572;571;572;572;1787;1778;1787;1787;1778;1788;1047;27;se1000001110001111100000000111111t;
50;9803;352;1824;1778;572;562;563;563;562;1787;1778;1784;572;563;562;1786;1777;1786;1787;1786;562;572;562;563;563;571;572;562;1778;1787;1777;1787;1786;1786;28;se11000001110001111100000000111111;
50;9808;1815;1787;572;572;571;563;563;1796;1787;1786;572;562;562;1787;1787;1787;1788;1787;563;563;572;563;572;572;572;570;1787;1793;1787;1787;1787;1787;1047;29;s11000001110001111100000000111111t;
50;9802;1823;1777;571;572;572;562;571;1787;1778;1786;571;571;605;1778;1786;1778;1787;1787;571;562;563;572;563;562;572;572;1778;1786;1787;1787;1788;1787;1047;30;s11000001110001111100000000111111t;
