distance(cm);start;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;end;index;code
300;8130;1524;1543;527;527;537;528;482;1534;660;1534;527;527;527;1533;1510;1542;1543;1268;527;536;526;526;536;527;536;527;1533;1534;1802;1548;1533;1533;929;29;s1100e0e1e10001111e0e00e0e011ee11t;
300;8122;1533;1534;527;518;527;518;527;1533;1533;1533;518;526;527;1525;1524;1531;1533;1533;527;582;526;518;526;517;527;526;1524;1524;1524;1533;1533;1533;929;30;s1100000111000111110e000000111111t;
300;8123;1533;1533;527;527;527;527;527;1527;1533;1534;527;527;527;1534;1534;1530;1534;1524;536;527;527;527;527;527;527;527;1534;1534;1533;1534;1533;1525;929;31;s110000011100011111e0000000111111t;
300;8131;1533;1533;527;536;526;527;527;1533;1533;1532;526;527;526;1542;1533;1533;1533;1533;527;581;527;527;526;526;526;526;1525;1524;1534;1534;1533;1542;929;32;s110e000111000111110e000000111111t;
300;8123;1533;1524;536;527;527;582;527;1533;1542;1542;526;526;526;1533;1533;1533;1533;1533;581;526;526;526;526;526;526;526;1529;1533;1533;1533;1524;1524;920;33;s11e00e011100011111e0000000111111t;
300;8130;1533;1542;527;535;526;610;527;1533;1533;1533;535;526;527;1542;1542;1533;1533;1534;527;527;527;733;536;527;536;526;1533;1534;1543;1533;1534;1533;920;34;s110e0e0111e0011111000ee0e0111111t;
300;8122;1534;1533;527;527;536;527;536;1533;1534;1529;527;536;527;1533;1524;1524;1533;1533;527;581;572;526;536;527;536;526;1533;1533;1533;1524;1500;1533;920;35;s1100e0e1110e0111110ee0e0e01111e1t;
300;8130;1533;1533;526;527;527;526;527;1533;1533;1524;527;526;517;1533;1533;1543;1533;1533;527;536;527;536;527;527;536;527;1533;1533;1533;1534;1534;1533;929;36;s1100000111000111110e0e00e0111111t;
300;8117;1537;1527;530;530;521;529;521;1528;1537;1536;521;521;530;1536;1537;1528;1527;1528;530;530;530;521;537;521;521;530;1536;1528;1528;1527;1528;1537;923;37;s1100000111000111110000e000111111t;
300;8125;1537;1537;521;531;521;534;521;1527;1527;1528;530;521;530;1537;1537;1536;1528;1528;530;530;530;575;521;585;530;521;1537;1536;1537;1537;1527;1528;924;38;s110000011100011111000e0e00111111t;
300;8123;1533;1525;527;536;527;536;527;1533;1533;1542;526;526;526;1533;1533;1532;1533;1533;536;526;536;527;526;536;527;535;1543;1533;1533;1533;1524;1523;929;39;s110e0e011100011111e0e00e0e111111t;
300;8121;1524;1533;527;527;526;525;536;1533;1533;1533;527;582;527;1525;1525;1534;1534;1542;526;536;527;535;536;527;536;527;1533;1534;1534;1533;1533;1534;929;40;s110000e1110e0111110e0ee0e0111111t;
300;8130;1540;1515;499;535;526;527;535;1533;1505;1506;508;527;526;1524;1514;1515;1514;1515;499;536;527;536;526;526;536;527;1533;1515;1505;1515;1515;1515;902;41;s11ee00e1eee0011111ee0e00e011e111t;
300;8122;1533;1506;508;527;536;525;526;1542;1543;1533;527;536;527;1534;1534;1524;1514;1584;527;518;527;524;526;526;536;527;1533;1533;1506;1524;1533;1515;910;42;s1ee0e001110e01111e000000e011e111t;
300;8125;1537;1536;530;539;521;521;530;1528;1528;1527;530;531;530;1537;1509;1509;1509;1509;511;530;521;451;530;530;530;521;1537;1510;1509;1509;1509;1509;905;43;s110e00011100011111e00e0000111111t;
300;8130;1545;1537;530;530;530;528;531;1537;1536;1537;539;521;521;1537;1536;1537;1528;1527;521;530;530;529;531;530;502;521;1536;1537;1537;1537;1528;1528;923;44;se100000111e0011111000000e0111111t;
300;8131;1533;1534;527;527;527;527;527;1533;1534;1534;527;536;527;1533;1543;1534;1534;1533;518;526;527;527;527;517;536;527;1533;1533;1542;1543;1533;1543;930;45;s11000001110e011111000000e0111111t;
300;8122;1533;1533;526;536;527;536;527;1533;1542;1533;527;527;527;1533;1533;1524;1524;1533;537;528;536;527;537;527;527;527;1534;1533;1533;1534;1533;1524;920;46;s110e0e011100011111e0e0e000111111t;
300;8126;1546;1537;530;521;530;529;530;1537;1537;1536;521;530;530;1537;1546;1537;1527;1537;521;530;530;518;530;530;540;521;1528;1528;1527;1541;1537;1536;933;47;se1000001110001e111000000e0111111t;
300;8132;1542;1533;526;527;526;517;526;1533;1533;1524;527;526;527;1531;1533;1533;1533;1533;526;527;526;527;527;527;527;536;1534;1534;1533;1533;1533;1524;920;48;s1100000111000111110000000e111111t;
300;8131;1533;1533;612;536;527;527;527;1533;1530;1543;536;527;536;1533;1533;1533;1533;1533;526;527;535;526;526;536;526;536;1533;1533;1533;1533;1533;1533;929;49;s11ee000111e0e1111100e00e0e111111t;
300;8133;1528;1527;530;530;530;521;531;1537;1536;1537;521;530;531;1537;1536;1536;1537;1536;530;530;521;530;530;521;530;531;1537;1537;1536;1537;1536;1537;933;50;s11000001110001111100000000111111t;
300;8125;1536;1536;530;521;530;522;530;1536;1537;1537;521;531;530;1537;1527;1537;1537;1537;530;539;521;521;531;530;530;530;1536;1537;1537;1527;1528;1537;923;51;s1100000111000111110e000000111111t;
300;8129;1543;1533;536;536;527;536;527;1534;1536;1534;527;518;527;1534;1533;1533;1533;1533;536;527;536;527;527;527;527;536;1533;1533;1533;1533;1533;1524;920;52;s11ee0e011100011111e0e0000e111111t;
300;8130;1533;1524;527;527;527;544;536;1533;1533;1533;518;527;527;1525;1533;1533;1542;1543;527;527;527;527;527;527;527;528;1534;1524;1533;1534;1542;1534;929;53;s11000ee1110001111100000000111111t;
300;8125;1533;1533;508;526;536;526;527;1542;1542;1543;526;536;527;1533;1533;1533;1542;1543;535;526;536;526;536;527;527;526;1533;1524;1524;1533;1543;1542;929;54;s11e0e001110e011111e0e0e000111111t;
300;8122;1533;1533;536;526;526;524;527;1543;1533;1533;527;527;527;1531;1533;1533;1538;1506;526;536;527;526;536;527;535;527;1533;1533;1542;1533;1533;1534;928;55;s11e00001110001111e0e00e0e0111111t;
300;8070;1533;1533;527;527;527;517;526;1533;1524;1534;536;527;527;601;1542;1533;1533;1534;527;527;527;527;527;518;527;527;1524;1534;1533;1533;1534;1534;920;56;s1100000111e00e111100000000111111t;
300;8123;1537;1535;527;536;526;589;527;1533;1524;1524;527;526;536;1543;1542;1533;1533;1533;527;536;528;557;526;536;527;526;1533;1543;1533;1533;1533;1533;929;57;s110e0e011100e111110e0e0e00111111t;
300;8117;1527;1528;530;530;540;529;521;1537;1536;1528;521;530;530;1537;1528;1527;1537;1537;530;522;531;529;530;521;530;530;1536;1537;1528;1527;1537;1537;924;58;s1100e001110001111100000000111111t;
300;8117;1527;1528;530;530;531;529;521;1545;1536;1537;521;530;531;1537;1527;1527;1528;1537;530;530;530;527;539;521;521;530;1536;1537;1528;1527;1527;1528;924;59;s1100000e11000111110000e000111111t;
300;8121;1533;1524;526;527;527;526;518;1533;1533;1533;526;527;526;1533;1533;1533;1524;1533;527;527;527;527;527;527;518;526;1533;1534;1524;1533;1534;1543;920;60;s11000001110001111100000000111111t;
300;8120;1534;1525;527;527;537;525;527;1543;1533;1533;527;527;527;1524;1534;1533;1543;1534;527;527;527;664;536;527;536;526;1533;1533;1533;1534;1533;1533;920;61;s1100e0011100011111000ee0e0111111t;
300;8122;1533;1542;526;527;526;526;536;1533;1533;1533;526;536;527;1533;1533;1543;1543;1533;527;536;527;527;527;527;527;527;1533;1533;1524;1524;1533;1534;929;62;s110000e1110e0111110e000000111111t;
300;8131;1534;1524;527;527;536;532;527;1533;1533;1533;527;526;527;1524;1524;1523;1533;1533;536;536;536;530;535;527;536;526;1533;1534;1534;1533;1533;1533;929;63;s1100e0011100011111eee0e0e0111111t;
300;8129;1533;1524;536;537;527;567;527;1524;1534;1542;527;527;527;689;1534;1533;1524;1524;536;527;535;527;536;526;526;535;1533;1533;1533;1533;1533;1533;930;64;s11ee0e0111000e1111e0e0e00e111111t;
300;8130;1533;1533;527;526;526;530;526;1533;1533;1533;527;508;517;1533;1533;1533;1533;1533;517;526;527;534;526;536;527;527;1533;1542;1505;1533;1533;1543;929;65;s11000001110e01111100000e0011e111t;
300;8121;1528;1536;530;530;521;531;530;1536;1526;1537;530;521;530;1542;1528;1528;1527;1528;530;521;530;530;530;521;521;530;1537;1537;1735;1530;1527;1527;924;66;s1100000111000111110000000011e111t;
300;8134;1537;1537;521;530;530;529;530;1527;1537;1537;540;530;521;1537;1537;1537;1537;1527;521;531;530;537;521;531;530;521;1522;1537;1537;1536;1537;1536;933;67;s1100000111e0011111000e0000111111t;
300;8130;1542;1542;526;536;536;535;535;1533;1533;1532;535;526;536;1541;1533;1533;1533;1533;535;536;527;536;527;508;527;527;1542;1533;1533;1534;1533;1533;920;68;s110eeee111e0e11111ee0e0e00111111t;
300;8122;1534;1524;527;526;536;532;526;1543;1542;1538;526;525;527;1532;1533;1533;1543;1533;527;527;527;524;536;527;536;526;1533;1534;1524;1527;1543;1543;920;69;s1100e00111000111110000e0e0111111t;
300;8131;1533;1533;518;527;518;527;527;1524;1533;1533;536;527;537;1533;1533;1534;1533;1524;536;527;536;527;527;527;527;527;1533;1534;1534;1533;1524;1534;929;70;s1100000111e0e11111e0e00000111111t;
300;8130;1524;1542;527;527;526;524;536;1542;1533;1533;526;536;527;1531;1537;1537;1542;1542;527;536;527;526;536;526;536;527;1534;1533;1524;1534;1534;1543;930;71;s110000e1110e0111110e00e0e0111111t;
300;8134;1533;1533;527;527;527;527;527;1533;1543;1534;527;537;527;1803;1529;1524;1533;1533;527;527;536;530;527;526;536;527;1533;1533;1533;1563;1542;1533;929;72;s11000001110e0e111100e000e0111e11t;
300;8131;1533;1533;535;526;527;525;526;1533;1542;1542;527;526;536;1533;1534;1534;1533;1533;527;527;527;526;536;527;527;527;1533;1533;1533;1524;1524;1524;930;73;s11e000011100e111110000e000111111t;
300;8125;1537;1537;530;521;530;521;530;1537;1537;1537;521;530;521;1500;1537;1536;1527;1528;521;558;530;530;530;531;530;521;1527;1527;1546;1537;1543;1537;932;74;s1100000111000e11110e00000011e111t;
300;8116;1536;1528;530;530;530;531;521;1536;1537;1537;530;531;521;1527;1528;1518;1537;1537;521;521;530;524;530;530;530;530;1536;1537;1537;1527;1537;1537;924;75;s11000001110001111100000000111111t;
300;8128;1542;1533;535;527;527;527;527;1524;1534;1533;536;527;537;1532;805;1533;1533;1533;527;526;526;526;535;527;527;527;1533;1533;1533;1530;1506;1534;930;76;s11e0000111e0e1e1110000e0001111e1t;
300;8130;1533;1542;526;536;526;535;535;1533;1533;1533;535;526;536;1542;1542;1533;1533;1534;536;527;527;536;527;536;526;535;1533;1533;1533;1533;1534;1525;929;77;s110e0ee111e0e11111e00e0e0e111111t;
300;8131;1534;1543;527;527;527;527;527;1533;1533;1533;517;526;526;1530;1524;1533;1534;1534;527;527;536;526;535;527;536;529;1533;1532;1533;1531;1542;1542;920;78;s11000001110001111100e0e0e0111111t;
300;8122;1542;1533;527;527;526;535;526;1533;1533;1533;527;527;526;1533;1533;1533;1533;1533;517;527;527;526;527;536;527;527;1534;1542;1534;1534;1533;1534;920;79;s11000e01110001111100000e00111111t;
300;8124;1527;1518;521;530;531;529;530;1536;1528;1528;530;530;530;1527;1527;1537;1537;1537;539;521;521;547;530;530;521;530;1537;1537;1527;1528;1537;1536;924;80;s110000011100011111e00e0000111111t;
300;8124;1536;1537;539;530;521;530;521;1528;1528;1536;531;521;530;1536;1537;1537;1527;1528;530;530;531;531;528;530;530;530;1537;1527;1537;1537;1536;1537;933;81;s11e00001110001111100000000111111t;
